time;nof_ue;dl_brate;ul_brate;proc_rmem;proc_rmem_kB;proc_vmem_kB;sys_mem;system_load;thread_count;cpu_0;cpu_1;cpu_2;cpu_3;cpu_4;cpu_5;cpu_6;cpu_7
56;1;0.0;0.0;4.4;708552;1912876;28;4.4;19;11;13;11;18;7.0;11;7.0;10
57;1;0.0;0.0;4.4;708552;1912876;28;4.2;19;9.0;12;11;18;6.0;11;6.0;10
58;2;2315.789551;1473.684204;4.4;708552;1912876;28;4.1;19;10;12;11;17;6.0;12;6.0;9.0
59;2;8341.708984;45708.542969;4.4;715200;1912876;28;4.3;19;12;11;12;18;7.9;9.9;6.9;9.9
60;1;0.0;0.0;4.4;715200;1912876;28;4.8;19;13;12;11;18;7.0;11;7.0;11
61;2;265737.718750;272672.125000;4.4;715200;1912876;28;4.1;19;11;12;11;18;6.0;11;7.0;10
62;2;28088.000000;78656.000000;4.4;715200;1912876;28;4.2;19;10;10;11;17;7.0;11;7.0;10
63;2;194576.000000;23176.000000;4.4;715200;1912876;28;4.1;19;10;14;11;18;6.0;10;7.0;10
64;2;1158816.000000;34016.000000;4.4;715200;1912876;28;4.5;19;11;11;11;19;5.9;9.9;6.9;8.9
65;2;0.0;0.0;4.4;715200;1912876;28;4.0;19;9.0;11;10;17;7.0;10;7.0;9.0
66;2;280;2024.000000;4.4;715200;1912876;28;4.1;19;10;11;11;17;6.0;10;8.0;10
67;2;112;1256.000000;4.4;715200;1912876;28;4.0;19;11;11;9.9;18;5.9;11;5.9;8.9
68;2;56;1256.000000;4.4;715200;1912876;28;4.0;19;12;11;9.9;18;5.9;9.9;5.9;7.9
69;2;56;4264.000000;4.4;715200;1912876;28;4.1;19;11;11;10;17;6.0;10;5.0;9.0
70;2;112;4268.268066;4.4;715200;1912876;28;4.1;19;9.9;12;12;17;5.9;9.9;5.9;8.9
71;2;28432.000000;77632.000000;4.4;715200;1912876;28;4.2;19;9.0;14;10;18;6.0;9.0;7.0;9.0
72;2;18184.000000;5656.000000;4.4;715200;1912876;28;4.0;19;9.0;15;11;16;5.0;10;6.0;8.0
73;2;652936.000000;33928.000000;4.4;715200;1912876;28;4.2;19;11;11;11;18;6.0;11;6.0;9.0
74;2;653496.000000;40088.000000;4.4;715200;1912876;28;4.0;19;11;9.9;9.9;17;5.9;9.9;5.9;9.9
75;2;56;4264.000000;4.4;715200;1912876;28;4.0;19;9.9;12;11;17;5.9;11;5.9;7.9
76;2;56;4264.000000;4.4;715200;1912876;28;4.1;19;10;11;10;17;5.0;10;6.0;9.0
77;2;56;4392.000000;4.4;715200;1912876;28;4.0;19;11;9.9;9.9;18;6.9;11;5.9;8.9
78;2;171336.000000;210704.000000;4.4;715200;1912876;28;4.4;19;12;12;11;17;5.9;9.9;5.9;8.9
79;2;84160.000000;78936.000000;4.4;715200;1912876;28;4.2;19;11;11;11;17;6.0;10;6.0;9.0
80;2;55888.000000;68088.000000;4.4;715200;1912876;28;4.6;19;12;7.9;12;18;5.9;8.9;11;11
81;2;134752.000000;374720.000000;4.4;715200;1912876;28;5.6;19;14;7.0;12;18;7.0;10;13;13
82;2;133648.000000;244280.000000;4.4;715200;1912876;28;5.1;19;13;5.9;12;18;6.9;8.9;11;12
83;2;151024.000000;62032.000000;4.4;715200;1912876;28;4.1;19;12;6.9;11;16;6.9;8.9;11;7.9
84;2;1154472.000000;54376.000000;4.4;715200;1912876;28;4.4;19;12;6.0;11;17;6.0;9.0;12;9.0
85;2;56;4392.000000;4.4;715200;1912876;28;3.9;19;11;6.0;11;17;7.0;9.0;11;8.0
86;2;56;2024.000000;4.4;715200;1912876;28;4.1;19;12;5.9;11;17;5.9;7.9;11;8.9
87;2;12256.000000;45504.000000;4.4;715200;1912876;28;4.1;19;11;6.9;12;18;5.9;8.9;11;8.9
88;2;127072.000000;152168.000000;4.4;715200;1912876;28;4.2;19;11;6.0;11;17;6.0;9.0;11;8.0
89;2;2856.000000;17568.000000;4.4;715200;1912876;28;4.0;19;12;5.9;11;17;6.9;7.9;11;8.9
90;2;52480.000000;117936.000000;4.4;715200;1912876;28;4.4;19;11;6.0;11;18;6.0;9.0;12;9.0
91;2;566616.000000;33144.000000;4.4;715200;1912876;28;4.6;19;13;6.9;11;17;5.9;8.9;11;11
92;2;0.0;0.0;4.4;715200;1912876;28;4.1;19;12;6.0;11;18;7.0;10;11;8.0
93;2;2233245.250000;172856.031250;4.4;717048;1912876;28;4.5;19;12;7.9;12;19;8.9;9.9;12;12
94;2;9097720.000000;295576.000000;4.4;717048;1912876;28;6.0;19;16;7.9;13;19;8.9;11;13;13
95;2;18461504.000000;604776.000000;4.4;717048;1912876;28;9.0;19;23;11;15;21;16;14;15;19
96;2;23730400.000000;587000.000000;4.4;717048;1912876;28;8.9;19;22;10;17;21;15;15;15;20
97;2;25854592.000000;503368.000000;4.4;717048;1912876;28;8.1;19;21;11;15;20;10;13;16;20
98;2;8441928.000000;395448.000000;4.4;717048;1912876;28;7.5;19;20;8.9;14;19;9.9;12;14;19
99;2;10066176.000000;350088.000000;4.4;717048;1912876;28;7.2;19;19;8.0;13;20;9.0;11;14;18
100;2;14624952.000000;382888.000000;4.4;717048;1912876;28;7.2;19;20;9.0;14;20;9.0;11;14;17
101;2;12586088.000000;333632.000000;4.4;717048;1912876;28;7.1;19;19;8.9;12;20;18;12;14;18
102;2;3608288.000000;137752.000000;4.4;717048;1912876;28;6.0;19;16;7.0;12;18;7.0;10;13;15
103;2;4986544.000000;302464.000000;4.4;717048;1912876;28;6.0;19;16;7.9;13;19;8.9;9.9;13;14
104;2;10821264.000000;284152.000000;4.4;717048;1912876;28;7.0;19;18;7.9;12;19;7.9;11;15;17
105;2;15418368.000000;371240.000000;4.4;717048;1912876;28;7.2;19;19;10;13;20;9.0;12;14;18
106;2;821192.000000;121392.000000;4.4;717048;1912876;28;4.4;19;12;6.0;11;17;7.0;10;11;9.0
107;2;9952.000000;44304.000000;4.4;717048;1912876;28;4.4;19;12;9.9;13;20;8.9;11;12;25
108;2;0.0;0.0;4.4;717048;1912876;28;4.0;19;11;6.0;12;18;6.0;8.0;11;9.0
109;2;56;4392.000000;4.4;717048;1912876;28;4.0;19;11;5.9;11;18;5.9;8.9;11;8.9
110;2;0.0;0.0;4.4;717048;1912876;28;4.1;19;11;5.9;11;18;6.9;8.9;9.9;8.9
111;2;56;2024.000000;4.4;717048;1912876;28;4.1;19;10;5.0;10;17;6.0;10;12;8.0
112;2;56;4392.000000;4.4;717048;1912876;28;4.1;19;11;6.9;11;18;5.9;8.9;13;7.9
113;2;56;4264.000000;4.4;717048;1912876;28;4.1;19;10;6.0;11;17;7.0;10;12;9.0
114;2;56;4387.612305;4.4;717048;1912876;28;4.1;19;11;6.0;10;18;6.0;9.0;11;8.0
115;2;56;4396.396484;4.4;717048;1912876;28;4.1;19;12;5.9;9.9;18;5.9;8.9;9.9;8.9
116;2;56;1256.000000;4.4;717048;1912876;28;4.0;19;12;5.0;11;18;7.0;9.0;12;9.0
117;2;56;2376.000000;4.4;717048;1912876;28;4.3;19;12;6.9;11;18;5.9;18;12;8.9
118;2;6256.000000;29536.000000;4.4;717048;1912876;28;4.3;19;11;5.9;9.9;18;5.9;9.9;11;8.9
119;2;56;3344.000000;4.4;717048;1912876;28;4.1;19;12;6.0;10;17;7.0;9.0;11;9.0
120;2;56;1256.000000;4.4;717048;1912876;28;4.1;19;12;5.9;11;18;5.9;8.9;11;8.9
121;2;56;3344.000000;4.4;717048;1912876;28;4.1;19;11;6.0;11;17;6.0;9.0;11;9.0
122;2;1232.000000;5304.000000;4.4;717048;1912876;28;4.1;19;11;5.9;12;18;5.9;9.9;12;8.9
123;2;56;2376.000000;4.4;717048;1912876;28;4.1;19;11;5.9;9.9;18;6.9;8.9;11;7.9
124;2;6200.000000;19784.000000;4.4;717048;1912876;28;4.1;19;12;5.0;11;18;6.0;9.0;12;9.0
