time;nof_ue;dl_brate;ul_brate;proc_rmem;proc_rmem_kB;proc_vmem_kB;sys_mem;system_load;thread_count;cpu_0;cpu_1;cpu_2;cpu_3;cpu_4;cpu_5;cpu_6;cpu_7
50;1;544552.000000;84120.000000;4.4;708348;1777964;28;3.9;19;8.0;1.00;10;8.0;3.0;0.0;9.0;2.0
51;1;37112.000000;85312.000000;4.4;708348;1777964;28;3.6;19;7.0;0.0;9.0;8.0;2.0;1.00;10;1.00
52;1;56;4136.000000;4.4;708348;1777964;28;3.6;19;7.9;0.90;8.9;7.9;2.9;0.90;8.9;0.90
53;1;112;8272.000000;4.4;708348;1777964;28;3.8;19;9.0;0.0;10;9.0;3.0;1.00;9.0;1.00
54;1;56;4136.000000;4.4;708348;1777964;28;3.8;19;8.0;0.0;9.0;8.0;4.0;0.0;9.0;1.00
55;1;112;8272.000000;4.4;708348;1777964;28;3.6;19;7.9;0.90;9.9;7.9;0.90;1.9;9.9;1.9
56;1;56;4136.000000;4.4;708348;1777964;28;3.8;19;7.9;0.0;8.9;8.9;0.0;0.90;8.9;3.9
57;1;0.0;0.0;4.4;708348;1777964;28;3.6;19;8.0;3.0;10;8.0;0.0;0.0;10;1.00
58;1;56;4136.000000;4.4;708348;1777964;28;3.6;19;8.0;2.0;9.0;8.0;1.00;1.00;9.0;1.00
59;1;36656.000000;45496.000000;4.4;708348;1777964;28;3.6;19;7.0;2.0;9.0;9.0;1.00;1.00;10;43
60;1;1624.000000;16544.000000;4.4;708348;1777964;28;3.6;19;6.9;0.90;9.9;7.9;1.9;0.0;8.9;1.9
61;1;0.0;0.0;4.4;708348;1777964;28;3.5;19;7.9;1.9;8.9;7.9;1.9;0.90;8.9;0.90
62;1;56;4136.000000;4.4;708348;1777964;28;3.8;19;8.0;1.00;9.0;8.0;3.0;0.0;9.0;1.00
63;1;0.0;0.0;4.4;708348;1777964;28;3.8;19;8.9;0.90;8.9;7.9;1.9;0.90;8.9;0.90
64;1;56;4136.000000;4.4;708348;1777964;28;3.6;19;8.0;0.0;10;9.0;1.00;2.0;10;2.0
65;1;0.0;0.0;4.4;708348;1777964;28;3.8;19;8.0;0.0;9.0;8.0;2.0;2.0;9.0;1.00
66;1;2592.000000;21064.000000;4.4;708348;1777964;28;3.8;19;8.0;1.00;9.0;8.0;2.0;0.0;10;2.0
67;1;56;4136.000000;4.4;708348;1777964;28;3.6;19;7.9;0.90;9.9;7.9;2.9;0.90;8.9;0.0
68;1;269136.000000;350336.000000;4.4;708348;1777964;28;3.9;19;7.9;1.9;9.9;8.9;0.90;0.90;9.9;0.90
69;1;2018640.000000;426832.000000;4.4;708348;1777964;28;4.1;19;8.0;2.0;11;9.0;3.0;1.00;11;2.0
70;1;8250640.000000;755664.000000;4.4;708348;1777964;28;4.9;19;7.0;4.0;13;9.0;3.0;3.0;13;1.00
71;1;19826568.000000;483480.000000;4.4;708348;1777964;28;6.0;19;8.9;4.9;16;11;3.9;3.9;16;4.9
72;1;192592.000000;304680.000000;4.4;708348;1777964;28;3.8;19;6.9;2.9;8.9;8.9;1.9;0.0;9.9;0.0
73;1;1769616.000000;448592.000000;4.4;708348;1777964;28;3.9;19;7.0;3.0;10;8.0;1.00;1.00;10;2.0
74;1;102688.000000;423152.000000;4.4;708348;1777964;28;3.8;19;7.0;3.0;10;8.0;0.0;1.00;10;1.00
75;1;52432.000000;44496.000000;4.4;708348;1777964;28;3.5;19;6.9;1.9;8.9;7.9;0.90;0.90;8.9;1.9
76;1;11440160.000000;307976.000000;4.4;708348;1777964;28;4.8;19;6.9;4.9;13;9.9;1.9;2.9;13;0.90
77;1;3502944.000000;86560.000000;4.4;708348;1777964;28;4.0;19;8.0;3.0;10;9.0;1.00;1.00;10;2.0
78;1;107072.000000;61224.000000;4.4;708348;1777964;28;3.5;19;6.9;2.9;9.9;7.9;0.0;0.90;9.9;0.90
79;1;18893352.000000;173168.000000;4.4;708348;1777964;28;5.6;19;7.0;5.0;14;11;3.0;5.0;14;4.0
80;1;20601600.000000;214576.000000;4.4;708348;1777964;28;6.0;19;8.0;5.0;15;11;5.0;2.0;15;5.0
81;1;142016.000000;13176.000000;4.4;708348;1777964;28;3.4;19;6.9;1.9;8.9;7.9;0.90;0.90;8.9;0.90
82;1;56;4392.000000;4.4;708348;1777964;28;3.6;19;7.9;1.9;9.9;7.9;0.0;0.90;9.9;0.90
83;1;0.0;0.0;4.4;708348;1777964;28;3.6;19;7.9;2.9;8.9;7.9;0.0;0.90;8.9;0.90
84;1;56;4136.000000;4.4;708348;1777964;28;3.6;19;8.0;1.00;9.0;9.0;2.0;0.0;9.0;2.0
85;1;0.0;0.0;4.4;708348;1777964;28;4.0;19;8.9;0.90;9.9;7.9;2.9;0.90;9.9;0.0
86;1;56;4392.000000;4.4;708348;1777964;28;3.8;19;8.9;0.90;9.9;7.9;2.9;0.0;8.9;0.90
87;1;0.0;0.0;4.4;708348;1777964;28;3.6;19;7.9;0.90;8.9;7.9;0.90;1.9;9.9;0.90
88;1;616;13176.000000;4.4;708348;1777964;28;3.6;19;8.0;1.00;9.0;8.0;0.0;3.0;9.0;0.0
89;1;0.0;0.0;4.4;708348;1777964;28;3.8;19;7.0;2.0;10;8.0;1.00;1.00;10;2.0
90;1;56;4392.000000;4.4;708348;1777964;28;3.5;19;8.0;2.0;9.0;9.0;0.0;0.0;12;1.00
91;1;0.0;0.0;4.4;708348;1777964;28;3.8;19;7.9;2.9;8.9;7.9;0.0;0.90;9.9;1.9
92;1;616;8528.000000;4.4;708348;1777964;28;3.5;19;7.0;2.0;10;8.0;0.0;0.0;9.0;1.00
93;1;5448.000000;78072.000000;4.4;708348;1777964;28;3.8;19;8.0;3.0;9.0;8.0;0.0;1.00;10;1.00
94;1;12379664.000000;139720.000000;4.4;708348;1777964;28;5.1;19;9.0;4.0;13;11;5.0;12;14;7.0
95;1;1820232.000000;43576.000000;4.4;708348;1777964;28;4.0;19;7.9;0.90;9.9;8.9;2.9;0.0;9.9;0.90
96;1;0.0;0.0;4.4;708348;1777964;28;3.8;19;8.9;1.9;9.9;7.9;2.9;0.90;9.9;0.0
97;1;56;4136.000000;4.4;708348;1777964;28;3.9;19;9.0;1.00;9.0;8.0;3.0;0.0;9.0;1.00
98;1;40288.000000;81776.000000;4.4;708348;1777964;28;4.0;19;8.9;0.90;9.9;7.9;2.9;0.90;9.9;0.90
99;1;37496.000000;519704.000000;4.4;708348;1777964;28;4.0;19;9.0;1.00;11;9.0;3.0;0.0;10;1.00
100;1;22552.000000;376280.000000;4.4;708348;1777964;28;3.8;19;7.9;0.90;9.9;7.9;2.9;0.90;9.9;0.90
101;1;2784.000000;12408.000000;4.4;708348;1777964;28;3.8;19;8.0;1.00;9.0;8.0;3.0;0.0;9.0;1.00
102;1;56;4136.000000;4.4;708348;1777964;28;3.9;19;10;0.0;10;8.0;4.0;1.00;10;2.0
103;1;56;4136.000000;4.4;708348;1777964;28;4.0;19;8.9;0.90;8.9;8.9;2.9;0.0;8.9;0.90
104;1;56;4136.000000;4.4;708348;1777964;28;3.8;19;10;1.00;10;8.0;3.0;1.00;10;1.00
105;1;56;4136.000000;4.4;708348;1777964;28;3.9;19;9.0;2.0;9.0;9.0;2.0;1.00;10;1.00
106;1;56;4136.000000;4.4;708348;1777964;28;3.9;19;9.9;0.0;9.9;7.9;3.9;0.0;8.9;0.0
107;1;56;4136.000000;4.4;708348;1777964;28;4.0;19;9.0;1.00;9.0;9.0;3.0;0.0;10;1.00
108;1;56;4136.000000;4.4;708348;1777964;28;3.9;19;9.9;0.90;9.9;8.9;2.9;0.90;9.9;0.90
109;1;56;4136.000000;4.4;708348;1777964;28;4.1;19;9.0;1.00;9.0;8.0;2.0;0.0;10;0.0
110;1;56;4392.000000;4.4;708348;1777964;28;3.6;19;8.9;1.9;9.9;8.9;0.0;0.90;8.9;1.9
111;1;56;4136.000000;4.4;708348;1777964;28;3.8;19;8.0;3.0;9.0;8.0;0.0;0.0;10;1.00
112;1;56;4136.000000;4.4;708348;1777964;28;3.8;19;8.9;1.9;9.9;7.9;0.0;0.90;8.9;1.9
113;1;616;12920.000000;4.4;708348;1777964;28;3.8;19;9.0;3.0;10;9.0;1.00;1.00;9.0;1.00
114;1;1176.000000;20680.000000;4.4;708348;1777964;28;3.8;19;8.0;2.0;10;8.0;0.0;0.0;10;1.00
115;1;56;4136.000000;4.4;708348;1777964;28;3.9;19;10;1.00;10;8.0;3.0;1.00;9.0;1.00
116;1;56;4136.000000;4.4;708348;1777964;28;3.9;19;9.0;1.00;10;8.0;3.0;0.0;10;1.00
117;1;56;4392.000000;4.4;708348;1777964;28;4.0;19;9.9;0.90;8.9;7.9;2.9;0.90;8.9;0.90
118;1;4944.000000;13176.000000;4.4;708348;1777964;28;4.0;19;9.0;1.00;10;8.0;4.0;0.0;10;0.0
119;1;56;4392.000000;4.4;708348;1777964;28;3.9;19;9.9;0.90;8.9;8.9;1.9;0.90;8.9;0.90
120;1;56;4392.000000;4.4;708348;1777964;28;3.9;19;9.0;1.00;10;8.0;3.0;0.0;10;0.0
121;1;0.0;0.0;4.4;708348;1777964;28;3.9;19;9.9;0.90;8.9;7.9;2.9;0.90;8.9;0.90
122;1;56;4136.000000;4.4;708348;1777964;28;3.9;19;9.0;1.00;10;8.0;3.0;1.00;10;1.00
123;1;0.0;0.0;4.4;708348;1777964;28;3.9;19;9.9;0.90;8.9;8.9;1.9;0.90;8.9;0.90
124;1;0.0;0.0;4.4;708348;1777964;28;4.0;19;9.0;1.00;9.0;8.0;3.0;0.0;10;1.00
125;1;504;8272.000000;4.4;708348;1777964;28;3.9;19;10;1.00;10;8.0;3.0;1.00;9.0;1.00
126;1;0.0;0.0;4.4;708348;1777964;28;3.8;19;8.9;0.0;8.9;7.9;3.9;0.0;9.9;0.90
127;1;0.0;0.0;4.4;708348;1777964;28;3.9;19;9.0;1.00;10;9.0;2.0;0.0;9.0;1.00
128;1;736;8272.000000;4.4;708348;1777964;28;3.9;19;8.9;0.90;8.9;7.9;2.9;0.90;9.9;0.90
129;1;0.0;0.0;4.4;708348;1777964;28;4.0;19;10;0.0;9.0;9.0;4.0;0.0;9.0;2.0
130;1;0.0;0.0;4.4;708348;1777964;28;3.8;19;9.0;0.0;10;8.0;2.0;1.00;9.0;1.00
131;1;0.0;0.0;4.4;708348;1777964;28;4.0;19;8.9;0.90;8.9;8.9;0.0;0.90;9.9;2.9
132;1;0.0;0.0;4.4;708348;1777964;28;3.8;19;7.9;1.9;9.9;8.9;0.90;0.0;8.9;2.9
