time;cc;earfcn;pci;rsrp;pl;cfo;pci_neigh;rsrp_neigh;cfo_neigh;dl_mcs;dl_snr;dl_turbo;dl_brate;dl_bler;ul_ta;distance_km;speed_kmph;ul_mcs;ul_buff;ul_brate;ul_bler;rf_o;rf_u;rf_l;is_attached;proc_rmem;proc_rmem_kB;proc_vmem_kB;sys_mem;sys_load;thread_count;cpu_0;cpu_1;cpu_2;cpu_3
21978;0;368500;500;84;0.0;-0.000015;n/a;n/a;n/a;28;170;1.1;72457.859375;0;0.0;0.0;0.0;28;0.0;118301.765625;0;0.0;0.0;0.0;0.0;9.6;766620;1581432;80;10;18;20;21;20;22
22977;0;368500;500;84;0.0;-0.000016;n/a;n/a;n/a;28;170;1.1;72457.859375;0;0.0;0.0;0.0;28;0.0;78867.843750;0;0.0;0.0;0.0;0.0;9.6;766620;1581432;80;9.8;18;20;21;20;17
23976;0;368500;500;84;0.0;-0.000016;n/a;n/a;n/a;28;170;1.1;72533.335938;0;0.0;0.0;0.0;28;0.0;118425.000000;0;0.0;0.0;0.0;0.0;9.6;766620;1581432;80;10;18;19;21;20;17
24975;0;368500;500;84;0.0;-0.000012;n/a;n/a;n/a;28;170;1.1;72989.515625;0;0.0;0.0;0.0;28;0.0;119169.812500;0;0.0;0.0;0.0;0.0;9.6;766620;1581432;81;9.8;18;20;29;22;18
25974;0;368500;500;84;0.0;-0.000018;n/a;n/a;n/a;28;170;1.1;72382.539062;0;0.0;0.0;0.0;28;0.0;118178.796875;0;0.0;0.0;0.0;0.0;9.6;766620;1581432;81;10;18;27;25;25;20
26973;0;368500;500;84;0.0;-0.000016;n/a;n/a;n/a;28;170;1.1;72457.859375;0;0.0;0.0;0.0;28;0.0;118301.765625;0;0.0;0.0;0.0;0.0;9.6;766620;1581432;81;10;18;35;32;34;21
27972;0;368500;500;84;0.0;-0.000014;n/a;n/a;n/a;28;170;1.1;72457.859375;0;0.0;0.0;0.0;28;0.0;118301.765625;0;0.0;0.0;0.0;0.0;9.6;766620;1581432;81;10;18;26;27;24;22
28971;0;368500;500;84;0.0;-0.000016;n/a;n/a;n/a;28;170;1.1;72382.539062;0;0.0;0.0;0.0;28;0.0;78785.859375;0;0.0;0.0;0.0;0.0;9.6;766620;1581432;80;10;18;24;26;24;22
29970;0;368500;500;84;0.0;-0.000018;n/a;n/a;n/a;28;170;1.1;72684.757812;0;0.0;0.0;0.0;28;0.0;118672.234375;0;0.0;0.0;0.0;0.0;9.6;766620;1581432;80;10;18;27;25;29;24
30969;0;368500;500;84;0.0;-0.000017;n/a;n/a;n/a;28;170;1.1;72382.539062;0;0.0;0.0;0.0;28;0.0;118178.796875;0;0.0;0.0;0.0;0.0;9.6;766620;1581432;80;10;18;21;25;24;20
31968;0;368500;500;84;0.0;-0.000015;n/a;n/a;n/a;28;170;1.1;72457.859375;0;0.0;0.0;0.0;28;0.0;78867.843750;0;0.0;0.0;0.0;0.0;9.6;766620;1581432;80;11;18;27;28;27;24
32967;0;368500;500;84;0.0;-0.000015;n/a;n/a;n/a;28;170;1.1;72457.859375;0;0.0;0.0;0.0;28;0.0;118301.765625;0;0.0;0.0;0.0;0.0;9.6;766620;1581432;80;10;18;28;33;36;26
33966;0;368500;500;84;0.0;-0.000015;n/a;n/a;n/a;28;170;1.1;72457.859375;0;0.0;0.0;0.0;28;0.0;118301.765625;0;0.0;0.0;0.0;0.0;9.6;766620;1581432;80;10;18;22;28;24;20
34965;0;368500;500;84;0.0;-0.000015;n/a;n/a;n/a;28;170;1.1;72608.968750;0;0.0;0.0;0.0;28;0.0;118548.484375;0;0.0;0.0;0.0;0.0;9.6;766620;1581432;80;10;18;25;24;25;19
35964;0;368500;500;84;0.0;-0.000015;n/a;n/a;n/a;28;170;1.1;72684.757812;0;0.0;0.0;0.0;28;0.0;118672.234375;0;0.0;0.0;0.0;0.0;9.6;766620;1581432;80;11;18;27;29;28;22
36963;0;368500;500;84;0.0;-0.000017;n/a;n/a;n/a;28;169;1.1;72382.539062;0;0.0;0.0;0.0;28;0.0;118178.796875;0;0.0;0.0;0.0;0.0;9.6;766620;1581432;80;10;18;27;26;24;22
37962;0;368500;500;84;0.0;-0.000016;n/a;n/a;n/a;28;170;1.1;72913.085938;0;0.0;0.0;0.0;28;0.0;119045.023438;0;0.0;0.0;0.0;0.0;9.6;766620;1581432;80;12;18;42;35;36;35
38961;0;368500;500;84;0.0;-0.000015;n/a;n/a;n/a;28;170;1.1;72989.515625;0;0.0;0.0;0.0;28;0.0;119169.812500;0;0.0;0.0;0.0;0.0;9.6;766620;1581432;81;11;18;44;42;43;40
39960;0;368500;500;84;0.0;-0.000016;n/a;n/a;n/a;28;170;1.1;72382.539062;0;0.0;0.0;0.0;28;0.0;118178.796875;0;0.0;0.0;0.0;0.0;9.6;766620;1581432;80;9.8;18;21;25;21;19
40959;0;368500;500;84;0.0;-0.000018;n/a;n/a;n/a;28;170;1.1;72457.859375;0;0.0;0.0;0.0;28;0.0;118301.765625;0;0.0;0.0;0.0;0.0;9.6;766620;1581432;81;11;18;28;29;28;28
41958;0;368500;500;84;0.0;-0.000016;n/a;n/a;n/a;28;170;1.1;72382.539062;0;0.0;0.0;0.0;28;0.0;118178.796875;0;0.0;0.0;0.0;0.0;9.6;766620;1581432;80;10;18;20;26;21;18
42957;0;368500;500;83;0.0;-0.000014;n/a;n/a;n/a;28;170;1.2;109369.632812;0;0.0;0.0;0.0;28;3.0;119045.023438;0;0.0;0.0;0.0;0.0;9.6;766620;1581432;80;10;18;30;29;27;22
43956;0;368500;500;84;0.0;-0.000015;n/a;n/a;n/a;28;170;1.1;72913.085938;0;0.0;0.0;0.0;28;0.0;238090.046875;0;0.0;0.0;0.0;0.0;9.6;766620;1581432;81;12;18;36;37;36;35
