time;nof_ue;dl_brate;ul_brate;proc_rmem;proc_rmem_kB;proc_vmem_kB;sys_mem;system_load;thread_count;cpu_0;cpu_1;cpu_2;cpu_3
74;0;0.0;0.0;21;828204;1287160;85;1.2;16;4.0;5.0;4.0;3.0
75;0;0.0;0.0;21;828204;1287160;85;1.5;16;1.9;4.9;7.9;2.9
76;0;0.0;0.0;21;828204;1287160;85;1.2;16;3.0;5.0;4.0;2.0
77;0;0.0;0.0;21;828204;1287160;85;1.2;16;4.0;4.0;5.0;3.0
78;0;0.0;0.0;21;828204;1287160;85;1.5;16;1.9;4.9;4.9;2.9
79;0;0.0;0.0;21;828204;1287160;85;1.0;16;3.0;5.0;5.0;3.0
80;0;0.0;0.0;21;828204;1287160;85;1.5;16;2.9;4.9;3.9;3.9
81;0;0.0;0.0;21;828204;1287160;85;1.2;16;3.0;4.0;5.0;3.0
82;0;0.0;0.0;21;828204;1287160;85;1.5;16;2.9;4.9;6.9;2.9
83;0;0.0;0.0;21;828204;1287160;85;1.0;16;3.0;5.0;6.0;3.0
84;0;0.0;0.0;21;828204;1287160;85;1.5;16;2.9;3.9;3.9;1.9
85;0;0.0;0.0;21;828204;1287160;84;1.2;16;4.0;8.0;7.0;6.0
86;0;0.0;0.0;21;828204;1287160;84;1.2;16;3.0;5.0;4.0;3.0
87;0;0.0;0.0;21;828204;1287160;84;1.2;16;3.0;4.0;5.0;3.0
88;0;0.0;0.0;21;828204;1287160;84;1.5;16;3.0;5.0;5.0;3.0
89;0;0.0;0.0;21;828204;1287160;84;1.5;16;3.9;3.9;4.9;2.9
90;0;0.0;0.0;21;828204;1287160;84;1.0;16;3.0;6.0;5.0;5.0
91;0;0.0;0.0;21;828204;1287160;84;1.5;16;1.9;3.9;3.9;2.9
92;0;0.0;0.0;21;828204;1287160;84;1.3;16;6.9;4.9;9.9;4.9
93;0;0.0;0.0;21;828204;1287160;84;1.2;16;3.0;5.0;5.0;3.0
94;0;0.0;0.0;21;828204;1287160;85;1.3;16;5.9;4.9;4.9;2.9
95;0;0.0;0.0;21;828204;1287160;85;1.5;16;2.9;3.9;4.9;2.9
96;0;0.0;0.0;21;828204;1287160;85;1.5;16;1.9;3.9;3.9;3.9
97;0;0.0;0.0;21;828204;1287160;85;1.2;16;3.0;5.0;5.0;3.0
98;0;0.0;0.0;21;828204;1287160;84;1.2;16;3.0;4.0;5.0;4.0
99;0;0.0;0.0;21;828204;1287160;84;1.3;16;3.9;4.9;3.9;1.9
100;0;0.0;0.0;21;828204;1287160;84;1.3;16;2.9;4.9;4.9;3.9
101;0;0.0;0.0;21;828204;1287160;84;1.2;16;3.0;5.0;4.0;2.0
