time;nof_ue;dl_brate;ul_brate;proc_rmem;proc_rmem_kB;proc_vmem_kB;sys_mem;system_load;thread_count;cpu_0;cpu_1;cpu_2;cpu_3
0;0;0.0;0.0;21;828204;1287160;65;1.5;16;7.8;9.8;6.8;7.8
1;0;0.0;0.0;21;828204;1287160;65;2.0;16;8.0;11;19;13
2;0;0.0;0.0;21;828204;1287160;65;1.5;16;7.0;10;9.0;9.0
3;0;0.0;0.0;21;828204;1287160;65;1.5;16;5.0;7.0;5.0;7.0
4;0;0.0;0.0;21;828204;1287160;65;1.3;16;3.9;5.9;3.9;4.9
5;0;0.0;0.0;21;828204;1287160;65;1.5;16;3.0;7.0;3.0;5.0
6;0;0.0;0.0;21;828204;1287160;65;1.2;16;3.0;5.0;3.0;4.0
7;0;0.0;0.0;21;828204;1287160;65;1.3;16;3.9;3.9;2.9;3.9
8;0;0.0;0.0;21;828204;1287160;65;1.2;16;3.0;5.0;3.0;5.0
9;0;0.0;0.0;21;828204;1287160;65;1.8;16;2.9;4.9;2.9;3.9
10;0;0.0;0.0;21;828204;1287160;65;1.2;16;3.0;4.0;3.0;5.0
11;0;0.0;0.0;21;828204;1287160;65;1.3;16;2.9;4.9;3.9;3.9
12;0;0.0;0.0;21;828204;1287160;65;1.2;16;3.0;8.0;2.0;5.0
13;0;0.0;0.0;21;828204;1287160;65;1.2;16;4.0;4.0;3.0;5.0
14;0;0.0;0.0;21;828204;1287160;65;1.5;16;7.9;8.9;5.9;5.9
15;0;0.0;0.0;21;828204;1287160;65;1.5;16;5.0;11;16;8.0
16;0;0.0;0.0;21;828204;1287160;65;1.8;16;12;9.0;52;20
17;0;0.0;0.0;21;828204;1287160;66;1.8;16;72;29;13;21
18;0;0.0;0.0;21;828204;1287160;66;1.5;16;62;38;33;24
19;0;0.0;0.0;21;828204;1287160;68;2.0;16;63;29;56;36
20;0;0.0;0.0;21;828204;1287160;70;1.5;16;79;31;33;35
21;0;0.0;0.0;21;828204;1287160;71;2.0;16;28;51;22;55
22;0;0.0;0.0;21;828204;1287160;72;1.5;16;68;53;44;36
23;0;0.0;0.0;21;828204;1287160;72;2.5;16;83;58;56;26
24;0;0.0;0.0;21;828204;1287160;74;2.0;16;77;54;50;49
25;0;0.0;0.0;21;828204;1287160;75;2.2;16;60;50;78;63
26;0;0.0;0.0;21;828204;1287160;76;1.5;16;67;70;98;85
27;0;0.0;0.0;21;828204;1287160;76;1.5;16;93;75;64;93
28;0;0.0;0.0;21;828204;1287160;77;2.0;16;92;83;31;58
29;0;0.0;0.0;21;828204;1287160;80;2.5;16;47;54;37;57
30;0;0.0;0.0;21;828204;1287160;80;1.8;16;71;40;57;48
31;0;0.0;0.0;21;828204;1287160;83;2.2;16;79;97;59;76
32;0;0.0;0.0;21;828204;1287160;85;2.3;16;91;91;82;97
33;0;0.0;0.0;21;828204;1287160;87;2.0;16;93;100;83;88
34;0;0.0;0.0;21;828204;1287160;87;2.0;16;76;63;82;82
35;0;0.0;0.0;21;828204;1287160;88;2.0;16;62;48;46;82
